id;start_date;end_date;language
1;2020-06-20T18:53:56;2020-06-20T16:44:11;SPANISH
2;2020-06-19T23:44:07;2020-06-20T18:48:32;SPANISH
3;2020-06-20T14:39:26;2020-06-20T01:13:35;FRENCH
4;2020-06-20T05:56:57;2020-06-20T17:28:23;FRENCH
5;2020-06-20T15:27:15;2020-06-20T20:14:14;FRENCH
6;2020-06-20T09:19:36;2020-06-20T21:27:50;FRENCH
7;2020-06-20T11:04:56;2020-06-20T04:55:47;FRENCH
8;2020-06-20T10:01:09;2020-06-20T20:17:17;SPANISH
9;2020-06-20T08:42:18;2020-06-20T05:23:41;SPANISH
10;2020-06-20T16:54:22;2020-06-20T03:28:52;SPANISH
